satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,Department,salary,employee_id
0.11,0.94,6,286,4,0,1,0,IT,medium,42423
0.81,0.7,6,161,4,0,1,0,IT,medium,1424
0.43,0.54,2,153,3,0,1,0,product_mng,medium,1426
0.9,0.98,4,264,6,0,1,0,product_mng,medium,1430
0.76,0.86,5,223,5,1,1,0,product_mng,medium,1438
0.43,0.5,2,135,3,0,1,0,product_mng,medium,11426
0.74,0.99,2,277,3,0,1,0,IT,medium,1443
0.09,0.77,5,275,4,0,1,0,product_mng,medium,1450
0.45,0.49,2,149,3,0,1,0,product_mng,high,22316
0.09,0.87,7,295,4,0,1,0,product_mng,low,1454
0.11,0.97,6,277,4,0,1,0,product_mng,medium,1463
0.11,0.79,7,306,4,0,1,0,product_mng,medium,1466
0.1,0.83,6,295,4,0,1,0,product_mng,medium,1467
0.4,0.54,2,137,3,0,1,0,marketing,medium,1473
0.43,0.56,2,157,3,0,1,0,sales,low,13107
0.39,0.56,2,142,3,0,1,0,accounting,low,1489
0.45,0.54,2,140,3,0,1,0,support,low,1490
0.38,0.49,2,151,3,0,1,0,technical,low,1493
0.79,0.59,4,139,3,0,1,1,management,low,1506
0.84,0.85,4,249,6,0,1,0,marketing,low,1508
0.11,0.77,6,291,4,0,1,0,marketing,low,15896
0.11,0.87,6,305,4,0,1,0,marketing,low,1530
0.17,0.84,5,232,3,0,1,0,sales,low,1537
0.44,0.45,2,132,3,0,1,0,sales,low,1543
0.37,0.57,2,130,3,0,1,0,sales,low,1548
0.1,0.79,6,291,4,0,1,0,sales,low,1558
0.4,0.5,2,130,3,0,1,0,sales,low,1571
0.89,1,5,246,5,0,1,0,sales,low,17231
0.42,0.48,2,143,3,0,1,0,sales,low,1581
0.46,0.55,2,129,3,0,1,0,sales,low,1590
0.09,0.83,6,255,4,0,1,0,sales,low,1595
0.37,0.51,2,155,3,0,1,0,sales,low,1605
0.1,0.77,6,265,4,0,1,0,sales,low,1610
0.1,0.84,6,279,4,0,1,0,sales,low,1622
0.11,0.97,6,284,4,0,1,0,sales,low,1639
0.9,1,5,221,6,0,1,0,sales,medium,1641
0.38,0.52,2,154,3,0,1,0,sales,medium,1642
0.36,0.52,2,147,3,0,1,0,sales,medium,1651
0.42,0.46,2,150,3,0,1,0,sales,medium,1658
0.09,0.94,7,267,4,0,1,0,sales,medium,1659
0.43,0.52,2,158,3,0,1,0,sales,medium,1665
0.24,0.46,7,224,5,0,1,0,accounting,medium,1669
0.91,1,4,257,5,0,1,0,accounting,medium,1674
0.44,0.5,2,148,3,0,1,0,accounting,medium,17376
0.71,0.87,3,177,4,0,1,0,hr,medium,1679
0.4,0.49,2,155,3,0,1,0,hr,medium,19808
0.43,0.47,2,144,3,0,1,0,hr,medium,1691
0.09,0.85,6,289,4,0,1,0,hr,high,1698
0.43,0.52,2,160,3,0,1,0,technical,low,1705
0.9,0.96,4,258,5,0,1,0,technical,medium,22928
0.84,1,5,234,5,0,1,0,technical,medium,1713
0.37,0.48,2,137,3,0,1,0,technical,medium,1715
0.86,0.68,5,263,2,0,1,0,technical,medium,23766
0.11,0.84,6,251,4,0,1,0,technical,low,1730
0.37,0.57,2,133,3,0,1,0,technical,low,1733
0.4,0.46,2,132,3,0,1,0,technical,low,23901
0.14,0.62,4,158,4,1,1,0,technical,low,1739
0.4,0.46,2,135,3,0,1,0,technical,low,1741
0.75,1,4,216,6,0,1,0,technical,low,1742
0.11,0.84,6,300,5,1,1,0,support,low,1743
0.46,0.49,2,138,3,0,1,0,support,low,24128
0.11,0.92,6,260,4,0,1,0,support,low,1771
0.38,0.49,2,132,3,0,1,0,support,low,25406
0.7,0.89,3,183,5,0,1,0,support,low,1786
0.09,0.82,6,250,4,0,1,0,support,low,1789
0.37,0.45,2,151,3,0,1,0,support,low,1802
0.1,0.83,6,292,4,0,1,0,support,low,1819
0.38,0.57,2,140,3,0,1,0,support,low,1822
0.9,1,5,221,5,0,1,0,support,low,26438
0.44,0.51,2,138,3,0,1,0,support,low,1828
0.36,0.5,2,132,3,0,1,0,technical,low,1833
0.31,0.84,7,133,5,0,1,0,technical,low,1842
0.1,0.84,6,283,4,1,1,0,technical,low,1843
0.42,0.48,2,129,3,0,1,0,management,low,1847
0.74,1,4,249,5,0,1,0,IT,low,1849
0.73,0.87,5,257,5,0,1,0,IT,low,1852
0.09,0.96,6,245,4,0,1,0,IT,low,1863
0.45,0.53,2,155,3,0,1,0,IT,low,1864
0.11,0.8,6,256,4,0,1,0,IT,low,1865
0.37,0.47,2,152,3,0,1,0,product_mng,low,26632
0.84,0.99,4,267,5,0,1,0,product_mng,low,26925
0.41,0.46,2,151,3,0,1,0,product_mng,low,7596
0.76,0.92,4,239,5,0,1,0,product_mng,low,1894
0.11,0.87,6,306,4,0,1,0,IT,low,1897
0.84,0.88,4,263,5,1,1,0,marketing,low,1898
0.39,0.5,2,147,3,0,1,0,marketing,low,1901
0.11,0.91,6,278,4,0,1,0,marketing,low,1902
0.45,0.56,2,154,3,0,1,0,marketing,low,28174
0.37,0.52,2,143,3,0,1,0,marketing,low,1912
0.4,0.52,2,155,3,0,1,0,marketing,low,1915
0.39,0.48,2,160,3,0,1,0,sales,low,1920
0.11,0.8,6,304,4,0,1,0,accounting,low,1924
0.83,1,5,240,5,0,1,0,support,low,1931
0.11,0.92,6,305,4,0,1,0,technical,low,1936
0.39,0.5,2,136,3,0,1,0,management,low,1938
0.45,0.45,2,132,3,0,1,0,marketing,low,1948
0.1,0.95,7,301,4,0,1,0,marketing,low,1953
0.9,0.98,5,243,6,0,1,0,marketing,low,28695
0.45,0.51,2,147,3,0,1,0,sales,low,1964
0.79,0.89,5,239,5,0,1,0,sales,low,1969
0.9,0.99,5,260,5,0,1,0,sales,low,1970
0.11,0.84,7,296,4,0,1,0,sales,low,1980
0.43,0.55,2,129,3,0,1,0,sales,low,1984
0.31,0.54,5,132,5,0,1,0,sales,low,31262
0.32,0.5,2,135,5,0,1,0,sales,low,32334
0.45,0.57,2,158,3,0,1,0,sales,low,1999
0.81,0.99,4,259,5,0,1,0,sales,low,2009
0.41,0.46,2,160,3,0,1,1,sales,low,2016
0.11,0.78,7,278,4,0,1,0,sales,low,2021
0.1,0.88,6,284,4,0,1,0,sales,low,2025
0.7,0.53,2,274,4,0,1,0,sales,low,2026
0.54,0.74,4,164,2,0,1,0,sales,low,32923
0.41,0.48,2,148,3,0,1,0,sales,low,2078
0.38,0.5,2,140,3,0,1,0,sales,medium,33098
0.37,0.51,2,127,3,0,1,0,sales,medium,2084
0.11,0.85,6,308,5,0,1,0,sales,medium,2092
0.4,0.47,2,146,3,0,1,0,sales,medium,91566
0.1,0.84,6,261,4,0,1,0,accounting,medium,2110
0.89,0.99,5,257,5,0,1,0,accounting,medium,2111
0.11,0.8,6,285,4,0,1,0,accounting,medium,2118
0.36,0.55,2,141,3,0,1,0,hr,medium,2125
0.4,0.46,2,127,3,0,1,0,hr,medium,2126
0.09,0.85,6,297,4,0,1,0,hr,medium,2128
0.4,0.46,2,143,3,0,1,0,hr,medium,2135
0.37,0.55,2,152,3,0,1,0,technical,medium,2152
0.44,0.51,2,156,3,0,1,0,technical,high,2156
0.09,0.8,7,283,5,0,1,0,technical,low,2157
0.92,0.87,4,226,6,1,1,0,technical,medium,2160
0.74,0.91,4,232,5,0,1,0,technical,medium,2169
0.09,0.82,6,249,4,0,1,0,technical,medium,2173
0.89,0.95,4,275,5,0,1,0,technical,medium,2174
0.09,0.8,6,304,4,0,1,0,technical,low,2178
0.27,0.54,7,278,3,0,1,0,technical,low,2181
0.1,0.91,6,287,4,0,1,0,technical,low,2187
0.1,0.89,7,285,4,0,1,0,technical,low,2189
0.77,0.94,5,226,6,0,1,0,support,low,2191
0.9,0.82,5,259,5,0,1,0,support,low,2193
0.39,0.5,2,135,3,0,1,0,support,low,2197
0.76,1,5,219,5,0,1,0,support,low,2200
0.1,0.93,6,256,4,0,1,0,support,low,2204
0.87,0.9,5,254,6,0,1,0,support,low,35563
0.38,0.5,2,153,3,0,1,0,support,low,2212
0.77,0.99,5,228,5,0,1,0,support,low,35940
0.78,0.87,4,228,5,0,1,0,support,low,2222
0.44,0.5,2,128,3,0,1,0,support,low,36647
0.38,0.52,2,153,3,0,1,0,support,low,2234
0.43,0.46,2,156,3,0,1,0,technical,low,2241
0.39,0.5,4,294,3,0,1,0,technical,low,2248
0.88,1,5,219,5,0,1,0,technical,low,37364
0.45,0.46,2,153,3,0,1,0,management,low,2253
0.4,0.53,2,151,3,0,1,0,IT,low,2269
0.36,0.51,2,155,3,0,1,0,IT,low,2277
0.36,0.48,2,158,3,0,1,0,IT,low,2279
0.9,0.98,5,245,5,0,1,0,IT,low,2283
0.43,0.53,2,131,3,0,1,0,IT,low,38260
0.89,0.87,5,225,5,0,1,0,product_mng,low,2299
0.1,0.84,6,286,4,0,1,0,product_mng,low,2300
0.37,0.5,2,135,3,0,1,0,product_mng,low,38901
0.37,0.51,2,153,3,0,1,0,product_mng,low,2311
0.87,0.9,5,252,5,0,1,0,IT,low,2314
0.4,0.56,2,149,3,0,1,0,accounting,low,2318
0.9,0.97,4,258,5,0,1,0,accounting,low,2340
0.37,0.46,2,158,3,0,1,0,hr,low,2346
0.44,0.54,2,149,3,0,1,0,hr,low,2362
0.85,0.95,5,236,5,0,1,0,hr,low,2363
0.78,0.98,5,239,6,0,1,0,marketing,low,40347
0.42,0.47,2,159,3,0,1,0,marketing,low,2395
0.92,0.99,5,255,6,0,1,0,sales,low,2402
0.11,0.83,6,244,4,0,1,0,accounting,low,2405
0.42,0.56,2,134,3,0,1,0,support,low,2415
0.48,0.57,4,270,4,0,1,0,technical,low,40729
0.83,0.85,4,255,5,0,1,0,management,low,2434
0.4,0.53,2,151,3,0,1,0,marketing,low,2444
0.43,0.45,2,135,3,0,1,0,marketing,low,41054
0.43,0.53,2,146,3,0,1,0,marketing,low,41767
0.1,0.97,7,254,4,0,1,0,sales,low,64871
0.1,0.87,7,289,4,0,1,0,sales,low,2468
0.37,0.46,2,156,3,0,1,0,sales,low,2475
0.38,0.53,2,156,3,0,1,0,sales,low,2476
0.4,0.5,2,128,3,0,1,0,sales,low,97541
0.89,0.86,5,275,5,0,1,0,sales,low,2488
0.45,0.46,2,155,3,0,1,0,sales,low,42255
0.37,0.48,2,159,3,0,1,0,sales,low,98548
0.46,0.49,2,148,3,0,1,0,sales,low,25138
0.87,0.91,4,228,5,0,1,0,sales,low,2514
0.11,0.84,6,298,4,0,1,0,sales,low,2515
0.79,0.87,5,261,5,0,1,0,sales,low,2523
0.79,0.92,5,254,6,0,1,0,sales,low,2561
0.19,0.59,7,192,3,0,1,0,sales,low,2565
0.87,0.98,4,248,5,0,1,0,sales,low,2568
0.6,0.92,2,258,5,0,1,0,sales,low,2571
0.44,0.45,2,156,3,0,1,0,sales,medium,2579
0.11,0.81,6,266,4,1,1,0,sales,medium,44247
0.42,0.54,2,156,3,0,1,0,sales,medium,2605
0.88,0.88,5,232,5,1,1,0,accounting,medium,2613
0.11,0.84,6,287,4,0,1,0,accounting,medium,45097
0.46,0.46,2,154,3,0,1,0,accounting,medium,2630
0.82,0.97,5,263,5,0,1,0,hr,medium,2632
0.44,0.56,2,131,3,0,1,0,hr,medium,2634
0.11,0.78,6,260,4,0,1,0,hr,medium,2645
0.42,0.5,2,139,3,0,1,0,hr,medium,45783
0.84,0.93,4,251,5,0,1,0,technical,medium,2658
0.11,0.95,6,286,4,0,1,0,technical,medium,2665
0.45,0.53,2,129,3,0,1,0,technical,high,2672
0.38,0.56,2,156,3,0,1,0,technical,low,2675
0.38,0.86,6,139,6,0,1,0,technical,medium,2677
0.44,0.51,2,127,3,0,1,0,technical,medium,49125
0.11,0.84,6,251,4,0,1,0,technical,medium,2679
0.81,0.93,5,270,5,0,1,0,technical,medium,2684
0.09,0.96,6,296,4,0,1,0,technical,low,2692
0.11,0.9,6,254,4,0,1,0,technical,low,2693
0.81,0.95,5,238,6,0,1,0,technical,low,2699
0.1,0.97,6,267,4,1,1,0,support,low,2701
0.74,0.89,5,229,6,0,1,0,support,low,2727
0.09,0.78,6,254,4,0,1,0,support,low,49502
0.82,0.81,4,233,4,1,1,0,support,low,53338
0.1,0.98,6,268,4,0,1,0,support,low,2748
0.27,0.56,3,301,3,0,1,0,support,low,54165
0.83,0.92,5,267,6,0,1,0,support,low,2753
0.1,0.93,6,289,4,1,1,0,support,low,2766
0.38,0.47,2,144,3,0,1,0,support,low,2767
0.4,0.56,2,148,3,0,1,0,support,low,2770
0.11,0.83,6,306,4,0,1,0,support,low,2771
0.11,0.79,6,292,4,0,1,1,technical,low,2773
0.82,0.91,5,232,5,0,1,0,technical,low,2777
0.36,0.48,2,137,3,0,1,0,technical,low,2782
0.4,0.46,2,128,3,0,1,0,management,low,27617
0.87,0.84,5,231,5,0,1,0,IT,low,2784
0.41,0.49,2,146,3,0,1,0,IT,low,2786
0.11,0.91,6,308,4,1,1,0,IT,low,55195
0.1,0.93,6,253,4,0,1,0,IT,medium,2807
0.38,0.51,2,146,3,0,1,0,IT,medium,2821
0.39,0.55,2,156,3,0,1,0,product_mng,medium,55937
0.4,0.52,2,147,3,0,1,0,product_mng,medium,2831
0.45,0.48,2,136,3,0,1,0,product_mng,medium,56819
0.74,0.84,5,249,5,0,1,0,product_mng,medium,56864
0.45,0.55,2,151,3,0,1,0,IT,medium,2841
0.12,1,3,278,4,0,1,0,RandD,medium,2847
0.1,0.77,7,250,5,0,1,0,RandD,medium,57006
0.37,0.55,2,127,3,0,1,0,RandD,medium,2880
0.89,0.87,5,255,5,0,1,0,RandD,medium,2881
0.45,0.47,2,135,3,0,1,0,RandD,medium,2882
0.37,0.46,2,149,3,0,1,0,marketing,high,57209
0.11,0.81,5,287,4,0,1,0,sales,low,2896
0.41,0.48,2,145,3,0,1,0,accounting,medium,2899
0.1,0.94,6,285,4,0,1,0,support,medium,2901
0.1,0.93,7,305,4,0,1,0,technical,medium,2912
0.11,0.95,7,300,4,0,1,0,management,medium,2916
0.4,0.54,2,139,3,0,1,0,marketing,low,2921
0.41,0.49,2,130,3,0,1,0,marketing,low,2923
0.1,0.81,6,268,4,0,1,0,marketing,low,2924
0.73,0.86,4,245,6,0,1,0,sales,low,58161
0.43,0.47,2,135,3,0,1,0,sales,low,2932
0.37,0.46,2,153,3,0,1,0,sales,low,2933
0.11,0.94,6,276,4,0,1,0,sales,low,2940
0.4,0.46,2,130,3,0,1,0,sales,low,2944
0.41,0.54,2,153,3,1,1,0,sales,low,2945
0.82,0.84,5,244,5,0,1,0,sales,low,2949
0.61,0.47,2,253,3,0,1,0,sales,low,2972
0.11,0.91,7,287,4,0,1,0,sales,low,58798
0.37,0.45,2,131,3,0,1,0,sales,low,2988
0.41,0.52,2,135,3,0,1,0,sales,low,2990
0.37,0.52,2,157,3,0,1,0,sales,low,58972
0.88,0.99,5,262,6,0,1,0,sales,low,59323
0.1,0.85,6,266,4,0,1,0,sales,low,3010
0.44,0.48,2,148,3,0,1,0,sales,low,3011
0.38,0.57,2,140,3,0,1,0,sales,low,3013
0.11,0.85,7,302,4,0,1,0,sales,low,59644
0.09,0.98,6,271,4,0,1,0,sales,low,3022
0.45,0.52,2,145,3,0,1,0,sales,medium,3024
0.1,0.81,6,290,4,0,1,0,accounting,medium,59872
0.45,0.47,2,151,3,0,1,0,accounting,medium,3042
0.77,0.87,5,266,5,0,1,0,accounting,medium,3047
0.44,0.51,2,140,3,0,1,0,hr,medium,3048
0.39,0.5,2,142,3,0,1,0,hr,medium,3064
0.1,0.91,6,246,4,0,1,0,hr,medium,3069
0.09,0.89,7,308,5,0,1,0,hr,medium,3091
0.37,0.47,2,141,3,0,1,0,technical,medium,3093
0.9,1,5,232,5,0,1,0,technical,medium,60841
0.41,0.56,2,143,3,0,1,0,technical,medium,3096
0.37,0.52,2,155,3,0,1,0,technical,medium,3100
0.1,0.86,6,278,4,0,1,0,technical,high,3101
0.81,1,4,253,5,0,1,0,technical,low,61868
0.11,0.8,6,282,4,0,1,0,technical,medium,3120
0.11,0.84,7,264,4,0,1,0,technical,medium,3122
0.4,0.46,2,149,3,0,1,0,technical,medium,3132
0.09,0.8,6,304,5,0,1,0,technical,medium,3137
0.48,0.93,3,219,6,0,1,0,technical,low,64897
0.91,0.91,4,262,6,0,1,0,support,low,3150
0.43,0.57,2,135,3,0,1,0,support,low,3159
0.33,0.88,6,219,5,0,1,0,support,low,3160
0.41,0.57,2,136,3,0,1,0,support,low,3165
0.41,0.55,2,154,3,0,1,0,support,low,65495
0.37,0.54,2,149,3,0,1,0,support,low,3179
0.31,0.62,6,135,5,0,1,0,support,low,3185
0.09,0.91,6,275,4,0,1,0,support,low,3191
0.1,0.87,6,290,4,0,1,0,support,low,66022
0.76,0.9,4,263,5,0,1,0,support,low,3195
0.41,0.54,2,145,3,0,1,0,support,low,3204
0.72,0.96,5,267,5,0,1,0,technical,low,3205
0.4,0.5,2,141,3,1,1,0,technical,low,66592
0.91,0.87,4,235,5,0,1,0,technical,low,3217
0.1,0.83,6,258,4,0,1,0,management,low,68266
0.4,0.56,2,131,3,0,1,0,IT,low,3233
0.82,0.86,5,243,5,0,1,0,IT,low,3234
0.1,0.82,6,266,4,0,1,0,IT,low,3238
0.37,0.45,2,142,3,0,1,0,IT,low,3240
0.36,0.51,2,135,3,0,1,0,IT,low,68351
0.39,0.48,2,141,3,0,1,0,product_mng,medium,3245
0.36,0.57,2,142,3,0,1,0,product_mng,medium,3246
0.86,0.84,5,254,5,0,1,0,product_mng,medium,68379
0.73,0.99,5,262,5,0,1,0,product_mng,medium,3249
0.56,0.71,4,296,2,0,1,0,IT,medium,3250
0.44,0.56,2,158,3,0,1,0,accounting,medium,69294
0.31,0.56,4,238,2,0,1,0,accounting,medium,3259
0.77,0.93,4,231,5,0,1,0,hr,medium,3260
0.44,0.45,2,156,3,0,1,0,hr,medium,3262
0.38,0.46,2,145,3,0,1,0,hr,medium,40488
0.45,0.48,2,144,3,0,1,0,marketing,medium,3288
0.38,0.51,2,159,3,0,1,0,sales,medium,3289
0.36,0.48,2,156,3,0,1,0,accounting,high,3297
0.75,0.9,5,256,5,0,1,0,support,low,3305
0.1,0.93,6,298,4,0,1,0,technical,medium,3306
0.1,0.97,6,247,4,0,1,0,management,medium,3309
0.45,0.5,2,157,3,0,1,0,marketing,medium,3311
0.42,0.57,2,154,3,1,1,0,marketing,medium,48921
0.78,1,4,253,5,0,1,0,marketing,low,99746
0.45,0.55,2,148,3,0,1,0,sales,low,73366
0.84,1,4,261,5,0,1,0,sales,low,73530
0.11,0.93,6,282,4,0,1,0,sales,low,3332
0.42,0.56,2,133,3,0,1,0,sales,low,3344
0.45,0.46,2,128,3,0,1,0,sales,low,3347
0.46,0.57,2,139,3,0,1,0,sales,low,3350
0.09,0.79,6,293,5,0,1,0,sales,low,3354
0.87,0.83,4,265,6,0,1,0,sales,low,3369
0.1,0.87,6,250,4,0,1,0,sales,low,3381
0.91,1,5,251,6,0,1,0,sales,low,3396
0.76,0.92,4,246,5,0,1,0,sales,low,74142
0.74,1,5,275,5,0,1,0,sales,low,3405
0.92,0.93,5,240,5,0,1,0,sales,low,3406
0.76,0.87,5,245,5,0,1,0,sales,low,74582
0.47,0.5,4,254,4,0,1,0,sales,low,3422
0.73,0.99,5,241,5,0,1,0,sales,low,3425
0.09,0.94,6,257,4,0,1,0,sales,low,75664
0.91,0.92,4,246,5,0,1,0,sales,low,3461
0.82,0.98,4,233,5,0,1,0,sales,low,76341
0.28,0.45,6,218,4,0,1,0,accounting,low,3465
0.84,0.99,4,262,6,0,1,0,accounting,medium,77736
0.45,0.53,2,138,3,0,1,0,accounting,medium,3482
0.45,0.54,2,142,3,0,1,0,hr,medium,3484
0.91,0.97,5,233,5,0,1,0,hr,medium,3502
0.42,0.48,2,155,3,0,1,0,hr,medium,78076
0.82,1,4,229,6,0,1,0,hr,medium,3506
0.11,0.9,6,264,4,0,1,0,technical,medium,3517
0.42,0.53,3,199,4,0,1,0,technical,medium,3518
0.82,0.85,4,223,5,0,1,0,technical,medium,3521
0.09,0.96,6,268,4,0,1,0,technical,medium,3530
0.1,0.94,6,287,4,0,1,0,technical,medium,3531
0.86,1,5,257,5,0,1,0,technical,medium,3535
0.4,0.46,2,143,3,0,1,0,technical,high,3536
0.45,0.46,2,130,3,0,1,0,technical,low,3546
0.42,0.51,2,136,3,0,1,0,technical,medium,3548
0.74,0.92,4,261,5,0,1,0,technical,medium,3550
0.55,0.6,3,180,4,0,1,0,technical,medium,78130
0.37,0.45,2,126,3,0,1,0,support,medium,3569
0.41,0.52,2,127,3,1,1,0,support,low,3573
0.89,0.65,5,195,6,0,1,0,support,low,3574
0.41,0.57,2,160,3,0,1,0,support,low,3575
0.44,0.51,2,150,3,0,1,0,support,low,3588
0.87,0.84,4,264,6,0,1,0,support,low,3596
0.1,0.84,6,309,4,0,1,0,support,low,3597
0.41,0.47,2,135,3,0,1,0,support,low,3598
0.11,0.85,6,261,4,0,1,0,support,low,12625
0.43,0.53,2,160,3,0,1,0,support,low,79881
0.77,0.9,4,237,5,0,1,0,support,low,3615
0.41,0.52,2,136,3,0,1,0,technical,low,3623
0.41,0.48,2,139,3,0,1,0,technical,low,3633
0.36,0.78,2,151,4,0,1,0,technical,low,3634
0.77,1,5,229,5,0,1,0,management,low,3635
0.81,0.98,5,245,5,0,1,0,IT,low,3636
0.39,0.54,2,127,3,0,1,0,IT,low,3643
0.09,0.94,6,283,5,0,1,0,IT,low,3654
0.44,0.46,2,143,3,0,1,0,IT,low,3655
0.1,0.84,5,298,4,0,1,0,IT,low,3658
0.36,0.48,2,159,3,0,1,0,product_mng,low,3664
0.81,0.92,5,239,5,0,1,0,product_mng,low,3665
0.81,0.9,4,226,5,0,1,0,product_mng,medium,3667
0.85,0.98,5,248,5,0,1,0,product_mng,medium,3669
0.1,0.87,6,286,4,0,1,0,IT,medium,3686
0.37,0.54,2,145,3,0,1,0,RandD,medium,3694
0.09,0.97,7,254,4,1,1,0,RandD,medium,3697
0.44,0.53,2,127,3,0,1,0,RandD,medium,3699
0.86,0.93,5,223,5,0,1,0,RandD,medium,3700
0.77,1,4,255,5,0,1,0,RandD,medium,3706
0.41,0.48,2,136,3,0,1,0,marketing,medium,3707
0.4,0.48,2,137,3,0,1,0,sales,medium,3719
0.43,0.49,2,135,3,0,1,0,accounting,medium,3722
0.43,0.5,2,137,3,0,1,0,support,medium,81317
0.8,0.53,3,255,5,0,1,0,technical,high,82607
0.8,0.85,4,273,5,0,1,0,management,low,3736
0.82,0.98,5,234,5,0,1,0,marketing,medium,3743
0.37,0.54,2,152,3,0,1,0,marketing,medium,3745
0.37,0.48,2,134,3,0,1,0,marketing,medium,3747
0.09,0.95,6,292,4,0,1,0,sales,medium,3754
0.9,0.92,5,245,5,0,1,0,sales,low,3755
0.41,0.52,2,159,3,0,1,0,sales,low,3771
0.1,0.85,6,260,4,0,1,0,sales,low,3788
0.44,0.53,2,149,3,0,1,0,sales,low,83066
0.89,0.85,5,266,5,0,1,0,sales,low,3799
0.42,0.56,2,149,3,0,1,0,sales,low,3807
0.87,1,5,242,5,0,1,0,sales,low,3813
0.45,0.57,2,134,3,0,1,0,sales,low,3826
0.11,0.87,5,271,4,0,1,0,sales,low,3832
0.09,0.79,6,275,4,0,1,0,sales,low,3857
0.76,0.83,5,227,5,0,1,0,sales,low,3860
0.11,0.96,7,277,5,0,1,0,sales,low,3868
0.37,0.49,2,151,3,0,1,0,sales,low,3874
0.1,0.79,6,274,4,0,1,0,sales,low,3876
0.77,0.87,4,242,6,0,1,0,sales,low,3877
0.42,0.54,2,143,3,1,1,0,sales,low,3879
0.38,0.52,2,145,3,0,1,0,sales,low,3888
0.32,0.95,5,172,2,0,1,0,sales,low,20539
0.38,0.49,2,135,3,0,1,0,accounting,low,3897
0.19,1,4,192,4,0,1,0,accounting,low,83745
0.1,0.83,7,276,4,0,1,0,accounting,low,3914
0.76,0.88,4,206,4,0,1,0,hr,medium,3916
